Feature,Stage1_Delta,Stage2_Delta,Stage1_Abs_Delta,Stage2_Abs_Delta,Stage1_Abs_Rank,Stage2_Abs_Rank,Stage1_HL_Shift,Stage2_HL_Shift,Stage1_Delta_CI_Lower,Stage1_Delta_CI_Upper,Stage2_Delta_CI_Lower,Stage2_Delta_CI_Upper,Delta_Change,Abs_Delta_Change,Abs_Delta_Ratio,Percent_Attenuation,Delta_Direction_Preserved,Delta_Sign_Reversed,HL_Direction_Preserved,Stage1_MW_BH_q,Stage2_MW_BH_q,Stage1_Stratified_BH_q,Stage2_Stratified_BH_q,Stage1_Movie1_Delta,Stage1_Movie2_Delta,Stage1_Movie3_Delta,Stage2_Movie1_Delta,Stage2_Movie2_Delta,Stage2_Movie3_Delta,Stage1_Direction_Consistent_All_Movies,Stage2_Direction_Consistent_All_Movies,Stage2_Any_Movie_Direction_Reversal,Stage2_CI_Excludes_Zero
c_std_time_between_peaks,0.3705435417884278,0.2356001486436269,0.3705435417884278,0.2356001486436269,21,26,0.09566866323162182,0.061410550569592826,0.1542665108123904,0.5727644652250146,0.025631735414344114,0.4414715719063545,-0.1349433931448009,-0.1349433931448009,0.6358231140839837,36.41768859160163,True,False,True,0.010286513328780573,0.07427792398820768,0.017733520765570502,0.2187906209379062,0.6515151515151515,0.5357142857142857,0.26625386996904027,0.6086956521739131,0.4114583333333333,0.09415584415584416,True,True,False,True
e_autocorr_lag1,0.3699590882524839,0.2716462281679673,0.3699590882524839,0.2716462281679673,22,22,0.1108220201813987,0.07851649873464028,0.11861484511981299,0.6026008182349498,0.05091044221479004,0.48717948717948717,-0.09831286008451662,-0.09831286008451662,0.7342601838789764,26.573981612102358,True,False,True,0.010286513328780573,0.040016823692112534,0.017716978302169784,0.07131786821317868,0.7272727272727273,0.5857142857142857,0.23839009287925697,0.6811594202898551,0.5729166666666666,0.14285714285714285,True,True,False,True
f_early_autocorr,0.35476329631794273,0.23894463024897808,0.35476329631794273,0.23894463024897808,23,24,0.1210446605249525,0.07175422795037639,0.11747516072472239,0.5745178258328463,0.021906354515050172,0.454477889260498,-0.11581866606896465,-0.11581866606896465,0.6735325574233961,32.64674425766038,True,False,True,0.013989378247496555,0.07427792398820768,0.052264004368793894,0.2841144456982873,0.5151515151515151,0.6428571428571429,0.1393188854489164,0.4492753623188406,0.53125,0.03896103896103896,True,True,False,True
d_poly_peak_c0,-0.3489187609585038,-0.26495726495726496,0.3489187609585038,0.26495726495726496,24,23,-0.12206761398049298,-0.08652213291827579,-0.6061075394506137,-0.07887200467562872,-0.48645484949832773,-0.027870680044593088,0.08396149600123887,-0.08396149600123887,0.759366633738493,24.0633366261507,True,False,True,0.015299654650356063,0.044576522696975325,0.019498050194980503,0.059441424278624776,-0.7575757575757576,-0.2857142857142857,-0.34365325077399383,-0.7391304347826086,-0.3645833333333333,-0.22077922077922077,True,True,False,True
a_skew,0.29281122150789013,0.23745819397993312,0.29281122150789013,0.23745819397993312,25,25,0.06132747563254237,0.043575599246066465,0.049678550555230856,0.5289596727060194,0.012987736900780386,0.45375325157933827,-0.05535302752795701,-0.05535302752795701,0.8109600197598115,18.90399802401885,True,False,True,0.0476415535966782,0.07427792398820768,0.052264004368793894,0.1911330606069828,0.45454545454545453,-0.04285714285714286,0.44272445820433437,0.4492753623188406,-0.010416666666666666,0.2694805194805195,False,False,True,True
d_poly_mag_c1,-0.288135593220339,-0.28279450018580454,0.288135593220339,0.28279450018580454,26,21,-0.0850829449554441,-0.08423291325943,-0.5347749853886616,-0.026300409117475162,-0.4975845410628019,-0.06649944258639938,0.00534109303453445,-0.00534109303453445,0.9814632653507334,1.853673464926662,True,False,True,0.05015575388300303,0.032305257572170176,0.2209434228990894,0.14971230149712303,-0.24242424242424243,-0.14285714285714285,-0.23839009287925697,-0.2753623188405797,-0.20833333333333334,-0.24025974025974026,True,True,False,True
b_spectral_flatness,0.2846288720046756,0.16090672612411744,0.2846288720046756,0.16090672612411744,27,29,0.09044758191107682,0.0596783047564623,0.043834015195791935,0.5090882524839271,-0.05016722408026756,0.3808992939427722,-0.12372214588055819,-0.12372214588055819,0.5653211671424332,43.467883285756685,True,False,True,0.051657627441764574,0.2592952897428046,0.041245875412458756,0.26356979686646725,0.21212121212121213,0.6428571428571429,0.2260061919504644,0.15942028985507245,0.6979166666666666,0.032467532467532464,True,True,False,False
c_mean_peak_to_trough_time,0.24079485680888368,0.07952434039390562,0.24079485680888368,0.07952434039390562,28,37,0.0666666666666666,0.020833333333333204,0.0017387492694330852,0.4634716540035067,-0.15570419918246006,0.30884429580081696,-0.16127051641497808,-0.16127051641497808,0.33025763692711774,66.97423630728822,True,False,True,0.1088550347244309,0.6024260133674226,0.2161391003756767,0.8091113965526524,0.4090909090909091,0.007142857142857143,0.2693498452012384,0.37681159420289856,-0.125,0.0698051948051948,True,False,True,False
d_poly_trough_c2,-0.23904149620105203,-0.1452991452991453,0.23904149620105203,0.1452991452991453,29,31,-0.06230226691070989,-0.04030767748661401,-0.489187609585038,0.025131502045587374,-0.3600891861761427,0.07766629505759941,0.09374235090190672,-0.09374235090190672,0.6078406787453242,39.215932125467575,True,False,True,0.1088550347244309,0.3081818412949878,0.3081466046943693,0.53465241711123,0.030303030303030304,-0.35714285714285715,-0.15170278637770898,-0.014492753623188406,-0.3541666666666667,-0.045454545454545456,False,True,False,False
b_dominant_freq,-0.2074810052600818,-0.044221479004087696,0.2074810052600818,0.044221479004087696,30,40,-0.08631578947368401,-0.009234234234234195,-0.4570572764465225,0.05376972530683811,-0.27573392790784096,0.19064474173169813,0.1632595262559941,-0.1632595262559941,0.21313507204505366,78.68649279549463,True,False,True,0.1736849735725293,0.7938712206262094,0.16448355164483552,0.7315518448155184,-0.6060606060606061,-0.2357142857142857,-0.16408668730650156,-0.6231884057971014,-0.13541666666666666,0.00974025974025974,True,False,True,False
