Feature,K2_U1_n,K2_U2_n,K2_U1_Median,K2_U1_Q1,K2_U1_Q3,K2_U1_IQR,K2_U2_Median,K2_U2_Q1,K2_U2_Q3,K2_U2_IQR,K2_U1_Mean,K2_U1_SD,K2_U2_Mean,K2_U2_SD,HL_Shift_K2_U2_minus_K2_U1,HL_CI_Lower,HL_CI_Upper,Cliffs_Delta_K2_U2_vs_K2_U1,Delta_CI_Lower,Delta_CI_Upper,MannWhitney_U_K2_U1,MW_p,MW_BH_q,Movie1_Delta,Movie1_Delta_Sign,Movie2_Delta,Movie2_Delta_Sign,Movie3_Delta,Movie3_Delta_Sign,Movies_Matching_Pooled_Direction,Direction_Consistent_All_Movies,Any_Movie_Direction_Reversal,Stratified_Delta,Stratified_Permutation_p,Stratified_BH_q,Stage1_Abs_Rank
c_std_time_between_peaks,29,59,0.3282831305632776,0.2743211545417801,0.3955227550402854,0.12120160049850531,0.42466849183292,0.3109057466159094,0.518221932973076,0.20731618635716653,0.32405822542876117,0.10908408666594696,0.442869135058821,0.19913818771656616,0.09566866323162182,0.03820077980016867,0.150407266071509,0.3705435417884278,0.1542665108123904,0.5727644652250146,538.5,0.004957277586456778,0.010286513328780573,0.6515151515151515,positive,0.5357142857142857,positive,0.26625386996904027,positive,3,True,False,0.3856332703213611,0.0066993300669933005,0.017733520765570502,21
e_autocorr_lag1,29,59,0.3047086430381243,0.218564186637865,0.4216131467885484,0.20304896015068338,0.4202103874549014,0.33012334062778886,0.5205968615224508,0.1904735208946619,0.3301802089675659,0.184872657495716,0.42478706860488447,0.15475110757905755,0.1108220201813987,0.035126693836139866,0.18052015338500185,0.3699590882524839,0.11861484511981299,0.6026008182349498,539.0,0.00502896207184828,0.010286513328780573,0.7272727272727273,positive,0.5857142857142857,positive,0.23839009287925697,positive,3,True,False,0.39130434782608703,0.006299370062993701,0.017716978302169784,22
f_early_autocorr,29,59,0.2428803795094693,0.1489957886992102,0.4642194661227706,0.3152236774235604,0.4563542513854681,0.28787719620867314,0.5359159495934605,0.2480387533847873,0.30571088491741305,0.18413229095791714,0.42926840286799206,0.2072333949231545,0.1210446605249525,0.03091181015020767,0.2220036260689973,0.35476329631794273,0.11747516072472239,0.5745178258328463,552.0,0.007150126659831572,0.013989378247496555,0.5151515151515151,positive,0.6428571428571429,positive,0.1393188854489164,positive,3,True,False,0.31947069943289225,0.029197080291970802,0.052264004368793894,23
d_poly_peak_c0,29,59,0.4989654921303241,0.330564206780535,0.6953947900356234,0.36483058325508844,0.3795676063676039,0.3059236219304523,0.45986485794333176,0.15394123601287946,0.5201555631537468,0.24980022012600184,0.38589674625650905,0.11506105911831231,-0.12206761398049298,-0.2263456909543216,-0.026034004579262693,-0.3489187609585038,-0.6061075394506137,-0.07887200467562872,1154.0,0.008159815813523234,0.015299654650356063,-0.7575757575757576,negative,-0.2857142857142857,negative,-0.34365325077399383,negative,3,True,False,-0.3799621928166352,0.007799220077992201,0.019498050194980503,24
a_skew,29,59,0.5892979828915578,0.4654652681701811,0.6624456071681568,0.19698033899797573,0.6424296526292375,0.5866504712427405,0.6830247510079288,0.09637427976518831,0.5698397474674992,0.19325580055422945,0.6517803492552833,0.10856265952264528,0.06132747563254237,0.008943621913814814,0.12546250815089266,0.29281122150789013,0.049678550555230856,0.5289596727060194,605.0,0.026467529775932336,0.0476415535966782,0.45454545454545453,positive,-0.04285714285714286,negative,0.44272445820433437,positive,2,False,True,0.31568998109640833,0.0301969803019698,0.052264004368793894,25
d_poly_mag_c1,29,59,0.522459393223886,0.3777603460731422,0.6404367194230203,0.2626763733498781,0.4440268748718187,0.32820703531548656,0.5065458272912755,0.17833879197578895,0.5123916606072626,0.22945910250523305,0.42617096571931706,0.11788138636713809,-0.0850829449554441,-0.16180224929745357,-0.009335843821304923,-0.288135593220339,-0.5347749853886616,-0.026300409117475162,1102.0,0.028978880021290634,0.05015575388300303,-0.24242424242424243,negative,-0.14285714285714285,negative,-0.23839009287925697,negative,3,True,False,-0.21361058601134217,0.14238576142385762,0.2209434228990894,26
b_spectral_flatness,29,59,0.5167619545147464,0.4106078384428132,0.5949980735843591,0.1843902351415459,0.6038026651043146,0.46668332570882587,0.684342331548768,0.21765900583994213,0.4834378373622755,0.18650238915501172,0.5674606552820303,0.18024106928979788,0.09044758191107682,0.016079361437365637,0.15973689457541154,0.2846288720046756,0.043834015195791935,0.5090882524839271,612.0,0.030994576465058744,0.051657627441764574,0.21212121212121213,positive,0.6428571428571429,positive,0.2260061919504644,positive,3,True,False,0.3345935727788279,0.0207979202079792,0.041245875412458756,27
c_mean_peak_to_trough_time,29,59,0.3333333333333332,0.2941176470588236,0.4615384615384614,0.1674208144796378,0.4166666666666667,0.3125,0.5147058823529411,0.20220588235294112,0.3472630238283596,0.14035012910569836,0.42358793444286963,0.16979063967693825,0.0666666666666666,0.0,0.13461538461538458,0.24079485680888368,0.0017387492694330852,0.4634716540035067,649.5,0.0677502525645917,0.1088550347244309,0.4090909090909091,positive,0.007142857142857143,positive,0.2693498452012384,positive,3,True,False,0.21739130434782608,0.1344865513448655,0.2161391003756767,28
d_poly_trough_c2,29,59,0.4240860774917969,0.3291944853045725,0.4999955380605528,0.1708010527559803,0.363140974887166,0.2640285169261032,0.43915855321991537,0.17513003629381219,0.4425950901498084,0.2456900020730344,0.34686017457530605,0.12236843565823982,-0.06230226691070989,-0.14360573844345087,0.00739915021956189,-0.23904149620105203,-0.489187609585038,0.025131502045587374,1060.0,0.07015102237796658,0.1088550347244309,0.030303030303030304,positive,-0.35714285714285715,negative,-0.15170278637770898,negative,2,False,True,-0.18336483931947067,0.21227877212278773,0.3081466046943693,29
b_dominant_freq,29,59,0.7266666666666667,0.4799999999999998,0.8633333333333332,0.38333333333333336,0.59,0.4810526315789473,0.8000000000000002,0.31894736842105287,0.6853115547489413,0.23708375028414924,0.5954315385171765,0.2532038291890625,-0.08631578947368401,-0.20859649122807,0.026666666666666616,-0.2074810052600818,-0.4570572764465225,0.05376972530683811,1033.0,0.1157899823816862,0.1736849735725293,-0.6060606060606061,negative,-0.2357142857142857,negative,-0.16408668730650156,negative,3,True,False,-0.2381852551984877,0.09869013098690131,0.16448355164483552,30
f_early_mean,29,59,0.6999975892682988,0.564876077432702,0.8296796137569498,0.2648035363242478,0.751970773165489,0.7104369669770452,0.8004768865619241,0.09003991958487889,0.6780805198856884,0.2162761212294199,0.7544497186738904,0.07038631505327629,0.05117408486990449,-0.019377899726711334,0.1275823172459533,0.20280537697253068,-0.08009935710111045,0.47517533606078294,682.0,0.12459637300228411,0.18085915156342083,-0.5,negative,0.6142857142857143,positive,0.15170278637770898,positive,2,False,True,0.19281663516068054,0.18038196180381963,0.27057294270572946,31
c_avg_time_between_peaks,29,59,0.3900709219858156,0.3191489361702126,0.4628841607565013,0.14373522458628868,0.4500818330605567,0.3540643753409713,0.5460992907801421,0.19203491543917078,0.39605370150016483,0.12909009959948387,0.4442123451690496,0.14999705718360462,0.05200945626477521,-0.006858389837113066,0.11183945209289366,0.2004675628287551,-0.04208065458796026,0.4330800701344243,684.0,0.12861095222287705,0.18085915156342083,0.5757575757575758,positive,0.35,positive,0.018575851393188854,positive,3,True,False,0.17580340264650285,0.22577742225777422,0.317499500049995,32
d_poly_trough_c3,29,59,0.6107390557577895,0.5488650832080408,0.6809393532220969,0.13207427001405603,0.6510655071092599,0.582317380562007,0.7317491265466451,0.14943174598463815,0.5834111970009502,0.20781664165114502,0.6644202863491657,0.10475495313496398,0.04303980807772256,-0.012478826404341725,0.10220042390121908,0.19696084161309177,-0.06838106370543542,0.44476914085330216,687.0,0.1358676183961973,0.1852740250857236,-0.030303030303030304,negative,0.32857142857142857,positive,0.12074303405572756,positive,2,False,True,0.1568998109640832,0.28687131286871315,0.3911881539118816,33
c_std_time_between_troughs,29,59,0.3842685291493615,0.2673714091822686,0.4567337727805974,0.1893623635983288,0.4213576944119683,0.30694044132890447,0.6197515123448335,0.31281107101592903,0.3842032387800294,0.15333807689641546,0.47120874422830494,0.22262641576924072,0.06418417490015549,-0.020807406091538083,0.1511577405488767,0.18760958503798947,-0.06372004675628287,0.4225745178258326,695.0,0.1554830622578432,0.20578640592949834,0.2727272727272727,positive,0.32857142857142857,positive,0.015479876160990712,positive,3,True,False,0.1304347826086956,0.37566243375662434,0.4695780421957804,34
g_asymmetry_index,29,59,0.3450164293537787,0.2475117862755369,0.4518072289156629,0.20429544264012597,0.3092009983668693,0.16574631860776445,0.41512717536813937,0.2493808567603749,0.3673411397536012,0.19910305169488263,0.3078081780883467,0.18053141957571617,-0.05679217807364248,-0.1384908053265696,0.019347980155917543,-0.1706604324956166,-0.4091320864991233,0.07014903565166548,1001.5,0.1964466120775037,0.252574215528219,-0.2727272727272727,negative,0.2714285714285714,positive,-0.3126934984520124,negative,2,False,True,-0.15311909262759923,0.30256974302569745,0.40045995400459955,35
d_poly_trough_c1,29,59,0.4766183885869872,0.3992282075886738,0.6051655682002904,0.20593736061161666,0.5331216584506577,0.4561218117442969,0.6377566770779153,0.1816348653336184,0.4810889977009996,0.23032157090487382,0.5400437474245066,0.1157519729207447,0.04901387880868047,-0.03140864224014239,0.12609445791779064,0.15955581531268265,-0.11046171829339567,0.4260666277030976,719.0,0.22732066020176567,0.2841508252522071,-0.15151515151515152,negative,0.2,positive,0.02786377708978328,positive,2,False,True,0.05103969754253313,0.7406259374062594,0.8128821264215043,36
e_hurst_exponent,29,59,0.445025778019138,0.3248272665934881,0.5846805739428889,0.25985330734940076,0.4881869002489907,0.3627047105486856,0.5890293237223189,0.22632461317363328,0.4517743394933973,0.19847735910315448,0.4746514350185746,0.18968165954172686,0.03457255843119783,-0.06120285989304253,0.12241219095823674,0.10461718293395675,-0.1537112799532437,0.364114552893045,766.0,0.4294901160612641,0.5223528438582942,0.42424242424242425,positive,0.24285714285714285,positive,0.034055727554179564,positive,3,True,False,0.1379962192816635,0.35006499350064996,0.4500835630722642,37
f_delta_mean,29,59,0.4763310856497706,0.3937954008300086,0.61575156789886,0.2219561670688514,0.4580224186449889,0.4303595466585609,0.4928785444439616,0.06251899778540071,0.48418268992133734,0.21539472308773946,0.4537699202334069,0.05568616543474557,-0.033101120946881,-0.11589460937582186,0.04095286514940251,-0.09994155464640561,-0.3863237872589129,0.1923144360023374,941.0,0.45051346372852175,0.5335027859943021,0.9696969696969697,positive,-0.5571428571428572,negative,-0.13312693498452013,negative,2,False,True,-0.10775047258979205,0.46025397460253975,0.5597683474895754,38
b_band_power_low,29,59,1.0432120532097526e-33,3.3703774026776627e-34,3.384103583935748e-33,3.0470658436679815e-33,1.4511347150417716e-33,2.3965003868975266e-34,4.51018234121764e-33,4.270532302527887e-33,2.5023003325515393e-33,3.423563424572373e-33,3.583147144351113e-33,5.153193572703312e-33,1.40432391778236e-34,-3.972438964941012e-34,1.1473628353669819e-33,0.08182349503214495,-0.15958503798947984,0.32207773232027986,785.5,0.5372231751541474,0.6198728944086316,0.015151515151515152,positive,-0.2,negative,0.17956656346749225,positive,2,False,True,0.058601134215501,0.6901309869013099,0.7855089491050895,39
a_median,29,59,0.6562360394752851,0.606790399220241,0.7673313568614688,0.16054095764122778,0.671039272225153,0.6389148357226961,0.7031230962920834,0.06420826056938722,0.6681533960562996,0.19531937130813015,0.6791373406191807,0.07594394287552816,0.014386746008138829,-0.04942533403728078,0.06349936250963317,0.04734073641145529,-0.23553477498538866,0.33722969023962596,815.0,0.7223698970087227,0.812666134134813,0.4090909090909091,positive,0.10714285714285714,positive,-0.034055727554179564,negative,2,False,True,0.058601134215501,0.6982301769823017,0.7855089491050895,40
b_spectral_entropy,29,59,0.6040272958094426,0.5320093474610776,0.6606876257542678,0.12867827829319012,0.583536345842059,0.5052177898987271,0.7031773421144327,0.1979595522157056,0.5727154208152498,0.18374235974140496,0.5843134077900075,0.16975937257848464,0.009371443097378085,-0.05752268464373327,0.07598031087810897,0.030976037405026302,-0.22270601987142022,0.26709526592635885,829.0,0.8174660232581493,0.897218806015042,0.030303030303030304,positive,0.24285714285714285,positive,-0.05263157894736842,negative,2,False,True,0.03591682419659732,0.8102189781021898,0.8328258083282581,41
c_mean_trough_to_peak_time,29,59,0.3999999999999999,0.2941176470588236,0.5,0.2058823529411764,0.4166666666666667,0.3333333333333332,0.535897435897436,0.2025641025641028,0.41819057023898487,0.1621651273737391,0.421152904091588,0.16156887381791807,0.010695187165775166,-0.0666666666666666,0.07692307692307687,0.027469316189362946,-0.2331969608416131,0.2817212156633545,832.0,0.8381226401020541,0.8979885429664864,0.3333333333333333,positive,0.30714285714285716,positive,-0.17337461300309598,negative,2,False,True,0.017013232514177693,0.9158084191580842,0.9158084191580842,42
f_late_autocorr,29,59,0.3067625520335251,0.1913285886699784,0.4854360756136999,0.29410748694372146,0.3300948145683541,0.2584286297737098,0.45706958366799605,0.19864095389428627,0.3538392081798511,0.21491151526300373,0.3477623484008107,0.16145413346708606,0.00737819931197542,-0.09225040591909069,0.0944793462048219,0.020455873758036237,-0.24371712448860317,0.288135593220339,838.0,0.8800457719506107,0.9209781334366856,-0.696969696969697,negative,0.11428571428571428,positive,0.034055727554179564,positive,2,False,True,-0.03591682419659737,0.8143185681431857,0.8328258083282581,43
f_late_mean,29,59,0.7039327112460025,0.6157695909076217,0.8385075285482095,0.2227379376405878,0.7221163884494093,0.6687384973039285,0.7528036980831518,0.0840652007792233,0.6684188523504714,0.22046304381898127,0.7094147624347735,0.07133796134525908,0.003067385618805929,-0.07453477984781642,0.06211186809165525,0.012857977790765635,-0.26652542372881355,0.30099357101110463,844.5,0.9257332598697312,0.9467726521394979,1.0,positive,-0.18571428571428572,negative,-0.19195046439628483,negative,1,False,True,-0.04158790170132325,0.7811218878112188,0.8328258083282581,44
e_autocorr_lagk,29,59,0.3037608321188622,0.1878915496157044,0.4851922640178573,0.2973007144021529,0.3173448816838239,0.23844460540885098,0.41593082257718705,0.17748621716833607,0.3562562755168849,0.22916689333215462,0.3459165714327637,0.19276147546298122,0.003797520003930799,-0.09016856448866849,0.07894385362400771,0.006428988895382817,-0.2565751022793688,0.27527761542957335,850.0,0.9645970043222651,0.9645970043222651,0.0,zero,0.0,zero,-0.13312693498452013,negative,0,False,True,-0.08128544423440452,0.5889411058894111,0.6974302569743026,45
